"National Pokédex
number",English,Notes
11,Metapod,"The outer shell of Metapod is extremely hard, but the insides are very soft due to the changes that it's undergoing.Ume Aoki], a Japanese cartoonist famous for her work on the manga Hidamari Sketch and the anime Puella Magi Madoka Magica, utilizes a likeness of herself cosplaying as a Metapod in her drawn works.[18]"
12,Butterfree,"If you put pollen out of your window, a Butterfree will come to you. A Gigantamaxed Butterfree can grow a tremendous size with huge light blue wings. Its Gigantamax form resembles Mothra of the Godzilla franchise. This Pokémon is capable of learning Psychic-type attacks."
13,Weedle,"Its stinger is poisonous so if it finds itself against a foe, it can protect itself for a while. Considered an alternative to Caterpie's evolution line."
14,Kakuna,"Similar to Metapod, it's shell is extremely hard, but the insides are soft from the metamorphosis. Kakuna typically attach to trees in clusters and feel hot to the touch."
15,Beedrill,"Never go near a Beedrill nest because every Beedrill in the nest will angrily swarm you and sting you repeatedly, which is poisonous as well. Beedrill appear as large hornets with spikes on their forearms."
16,Pidgey,"The common bird of Kanto, Pidgey is a bird that will go after bug Pokémon until it scurries away. This was the first Pokémon Ash Ketchum attempted to catch after receiving his Pikachu. Considered as an alternative, and at times, a rival to Spearow."
17,Pidgeotto,"Pidgeotto was the second Pokémon that Ash Ketchum caught on his journey in the anime. Pidgeotto is seen several times throughout the series in various sizes, suggesting that they tend to grow large before evolving into Pidgeot."
18,Pidgeot,A lot of Trainers choose Pidgeot as their Pokémon because of the striking beautiful feathers it has. Pidgeotts tend to be very large in size.
19,Rattata,"Criticized as a ""filthy rodent"" by GamesRadar and ""rubbish"" by the Official Nintendo Magazine.[19][20] Its teeth grow very long over time, so it has to gnaw on logs, houses, telephone poles and more so it can be quite a pest at times. Rattata has an Alola Form that is an Dark/Normal Type."
20,Raticate,"Raticate is a rodent that commands the groups of Rattatas to get it food. Like Rattata, it too needs to whittle its teeth down but it does so on harder objects like steel, wood, rocks, fruit, and more. Raticate has an Alola Form that is an Dark/Normal Type."
21,Spearow,"Eats bugs in grassy areas. It has to flap its short wings at high speed to stay airborne. Spearows are said to have short temperaments, and tend to swarm perceived enemies in large flocks. This is an alternative and sometimes considered a rival to Pidgey. Ash Ketchum attempted to catch a Spearow without the help of his Pikachu, leading to a rather disastrous start of his journey."
22,Fearow,"Its English name is a portmanteau of ""fear"" and ""sparrow"". Fearow are large birds that can fly at extremely high altitudes for long periods of time."
23,Ekans,"Its English name is “snake” spelled backwards. Ekans likes to coil itself because if it gets attacked while sleeping, it's all ready to strike at them. Ekans was one of Team Rocket member Jessie's starting Pokémon."
24,Arbok,"Belonged to Jessie, a member of Team Rocket, for the Kanto, Johto, and a small portion of the Advanced Generation series of the Pokémon anime. The pattern on its chest is different everywhere. It is hard to escape from its coil because its muscles are so strong, it can crush a steel drum by constricting it. Even though its name is Arbok, what it pronounces is ""Char-bok"". Its name backwards is kobra, which is pronounced the same as cobra. In the beta for Red and Blue, its name was ""Nagaasp""."
25,Pikachu,"Mascot of the Pokémon franchise, as well as Pokémon Yellow and Let's Go, Pikachu! Also playable in every Super Smash Bros. game to date. Gigantamax Pikachu looks like its old sprite from Red and Blue with a glowing whitish tail. It raises its tail to check its surroundings and it sometimes gets struck by lightning in that pose. If Pikachu sees something new, it'll shock it with electricity. When you see blackened marks on the ground, Pikachu mistook its electrical power."
26,Raichu,"Raichu has an Alola Form that is an Electric/Psychic Type. It was originally intended for Raichu to have an evolution named Gorochu, but it was scrapped due to balance issues. Raichu was a centerpoint of a conflict during the anime for Ash Ketchum, who fought against Lt. Surge's Raichu with his own Pikachu, which made him think about evolving his Pikachu to match Surge's own."
27,Sandshrew,"Sandshrew has an Alola Form that is a Steel/Ice Type. Based on the Chinese pangolin, Sandshrew is known to curl into a ball to defend itself similar to volvation seen in animals."
28,Sandslash,"Sandslash is a pangolin-like Pokémon. Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape. Sandslash has an Alola Form that is a Steel/Ice Type. In the anime series, a Sandshew was shown to be able to dig its way into the body of a large Onix."
29,Nidoran♀,"It is related to the Nidoran♂ line, and can produce Eggs that contain either Nidoran♀ or Nidoran♂. However, it is the only one of its line that can breed, as Nidorina and Nidoqueen are part of the Undiscovered Egg Group. Both Nidoran's, Nidorina, Nidorino, Poipole, and Naganadel are known as the Poison Pin Pokémon."
30,Nidorina,"When it's with its friends and family, it doesn't have its toxic horn out. As soon as danger appears, it is ready to fight."
31,Nidoqueen,"When protecting its young, it gains more strength than normal. Its hide is so strong, not much can hurt it. Can only evolve with a Moon Stone."
32,Nidoran♂,"It was the third Pokémon created, after Rhydon and Kangaskhan. This version of Nidoran, and its evolutions, are more aggressive and have larger spines than the female versions."
33,Nidorino,
34,Nidoking,"Based on Baragon from the Godzilla franchise, it usually fights for the family if its offspring are in trouble."
35,Clefairy,"Originally proposed to be joint mascot of the Pokémon franchise alongside Pikachu, but was quickly overshadowed by the latter's popularity. Clefairy was called a ""Fairy"" Pokémon before the creation of Fairy-type.[21]"
36,Clefable,"Clefairy evolves into Clefable when coming contact with a moon stone. Rarely seen by people, Clefable walks around on moonlit nights, skipping lightly as if in flight, allowing it to walk on water. It has an extremely sharp sense of hearing; its sensitive ears allow it to detect the dropping of a pin a mile away."
37,Vulpix,"When a Vulpix is born, it only has one white tail that splits into 6 if it gets plenty of love from its Trainer or mother. It was originally meant to have a pre evolution that had 3 tails. Vulpix has an Alola Form that is an Ice Type."
38,Ninetales,Designs inspired by the nine-tailed fox of East Asian myth.[22] Ninetales has an Alola Form that is an Ice/Fairy Type. Ninetails are considered to be beats of great power and said to live very long lives.
39,Jigglypuff,"Playable in every Super Smash Bros. game to date. The Jigglypuff that appears in the anime frequently appears as a running gag where it always tries to sing for an audience, forgetting that it puts everyone to sleep. When this happens, it uses the marker that is part of the microphone to draw silly faces on people."
40,Wigglytuff,It doesn't care if its large eyes gets dust or dirt in them because its eyes are covered in a thin layer of fluid. It tends to be more short tempered and more aggressive than Jigglypuff.
41,Zubat,"It uses echolocation because it has no eyes. Zubats are part of a popular meme within the franchise that usually involves Albert Einstein's mentions of infinite things, one being the number of Zubats in Dark Cave. This is a reference to Zubats being the most commonly encountered Pokémon in almost every cave or underground area."
42,Golbat,"Golbat loves to drink blood, however it sometimes drinks so much that it can't fly. Unlike Zubat, Golbat have eyes and (visible) feet."
43,Oddish,"It buries itself in the soil to absorb the nutrients. the more water it drinks, the glossier it becomes. Oddish are nocturnal by nature, and mainly wander at night to spread their seeds. Based on the mandrake."
44,Gloom,"If it senses danger around it, it produces a horrific stench from the leaves on its head. If there isn't, it's fine and the stench goes away. Glooms always have a line of drool oozing from their mouths. Using the Leaf Stone evolve Gloom into Vileplume, and using the Sun Stone evolve it into Bellossom."
45,Vileplume,"Tour guides always say not to go up to any flower in the jungle, no matter how beautiful is because of this reason: it might just be a Vileplume which can spread toxic spores that will leave you sick for days. Vileplume is based on the Rafflesia, the world's smelliest flower. Vileplumes are only obtainable by using the Leaf Stone."
46,Paras,"Paras is a Bug-type that is host to a parasitic mushroom. As it ages, the mushroom begins to completely take over its body, evolving it into Parasect. Most of the nutrients Paras gets from feeding on plant roots are absorbed instead by the mushrooms. These mushrooms can be removed and used for medicines. More will grow on Paras' back later on."
47,Parasect,"Parasects are the endpoint of a Paras' life stage, where the mushroom has fully engulfed its body. It requires more energy from trees due to its larger size. It was originally called ""Fungus"" in early development."
48,Venonat,"Based on the gnat. Venonats are nocturnal predators who use their compound eyes to see in the dark. They use a mix of Bug, Poison, and Psyhic moves."
49,Venomoth,"Venomoths are large violet/fushia colored moths. As the name suggests, it uses Bug and Poison type moves, as well as Psychic and Flying type."
50,Diglett,Farmers like to use Digletts to plow the soil for crops to grow plentifully. Diglett has an Alola Form that is an Ground/Steel Type. No one has ever seen the full body of a Diglett.
51,Dugtrio,"Dugtrio has an Alola Form that is an Ground/Steel Type. Like Diglett, no one has ever seen the full body of a Dugtrio."
52,Meowth,"Reoccurring member of Team Rocket in the Pokémon anime series, Meowth loves anything shiny and will steal it if it can. Murkrow and Meowth will loot each other's stash all the time. Meowth has an Alola Form that is an Dark Type and its Galarian form is a Steel Type. Gigantamax Meowth is a tall, thin, Japanese version of it with glowing eyes. Team Rocket's Meowth in the anime series can talk human and Pokémon."
53,Persian,"A Persian is owned by Team Rocket's leader, Giovanni in the Pokémon anime series, but can be seen in the wild throughout. Persian will sneak up behind a foe so silently by retracting its claws. It will then pounce on them and rip them to shreds. Persian has an Alola Form that is an Dark Type and its Galarian counterpart Perrserker is a Steel Type. While Meowth has a gold coin on its forehead, Persian has a red jewel."
54,Psyduck,"When Psyduck's headache gets severe, it unleashes its psychic powers. Psyduck was originally intended to have a currently unnamed middle evolution, but it was scrapped. It was also originally called ""Ducky"" in early development. Psyduck in the anime series first appears belonging to Misty, and usually seems to be unreliable and a nuisance until it begins using its Psychic abilities."
55,Golduck,It was almost hunted to extinction by hunters wanting its precious jewel on its forehead. Its capabilities are superior compared to Psyduck.
56,Mankey,"Mankey is a Snub-nosed monkey-like Pokémon that specializes in physical fighting and is very aggressive and short-tempered. When angry, Mankey begins shaking and its breathing turns rough. Its rage peaks quickly, preventing its victim from being able to flee."
57,Primeape,"Anything can make a Primeape's blood boil. It's not as smart when its really mad, though. However, sometimes it can get so mad, that it can die because it couldn't handle its anger. Primape is based on the Snub-nosed monkey."
58,Growlithe,A brave and loyal dog Pokémon that will bark and bite to defend its territory from intruders. Growlithe are popular throughout the Pokémon world as both guard dogs and police dogs. They are based on the Ryukyuan Shisa and Japanese Komainu lion-dog statues.
59,Arcanine,"A fan-favorite Pokémon, Arcanine is among the strongest non-legendary Pokémon and has been described as having ""the mane of a lion ... the stripes of a tiger [and] the speed of a panther.""[23][24][25]"
60,Poliwag,"Poliwag is the favorite Pokémon of Satoshi Tajiri, creator of the Pokémon franchise. Its appearance is similar to that of which it is named, a polliwog and a tadpole. It has only a tail and two legs for movement, and the swirl on its belly is said to be its intestines visible through its thin skin."
61,Poliwhirl,"Poliwhirl is among the most-marketed Pokémon,[26] being used in a line of chewable vitamins as well as a line of toothbrushes. Poliwhirl appears as a humanoid shaped Pokémon with a similar appearance to Poliwag, except it has arms and no tail. It evolves into Poliwrath only after being exposed to a Water Stone. It also evolves into Politoed after being traded while holding a King's Rock.[27][28]"
62,Poliwrath,Capable of swimming the Pacific Ocean tirelessly. It evolves from Poliwhirl after being exposed to a Water Stone. The swirl on its belly is reversed from its pre-evolutions.
63,Abra,"Even when its sleeping, which it does most of its life, it can sense danger with its highly potent Psychic power. When it is in danger, it will teleport to safety. Abra's Teleport is usually faster than the player's Pokémon, requiring a higher Speed stat in order to disable it before it teleports."
64,Kadabra,"Kadabra has been the source of various controversies. The symbols on its body have been associated to those used by Nazi Germany's Waffen-SS. Furthermore, in November 2000, Israeli magician Uri Gellar sued Nintendo, claiming Kadabra embodies an unauthorized appropriation of his identity.[29][30][31] However, in 2020, he releases a claim that Nintendo can use Kadabra again."
65,Alakazam,"Due to its brain being too heavy in its head, it actually uses its psychic power to hold its head up. Its 5000 IQ makes it a very intelligent Pokémon. It can affect nearby technology using its brainwaves. Kadabra and Alakazam were the direct counters to the Gastly line of Ghost-type Pokémon after they were turned into dual types with Poison-type. Throughout the series, the Abra and Gastly lines were considered rivals."
66,Machop,The best thing about Machop is that its muscles never get sore. It can hurl around 100 adult humans before it gets tired.
67,Machoke,"Machoke is typically used for heavy lifting jobs due to its super strength. Its appearance is similar to a WWE style wrestler, with what appears to be exercise shorts."
68,Machamp,Machamp has four arms. It can throw around 1000 punches in two seconds and move mountains with one arm. It evolves from Machoke after being traded.
69,Bellsprout,"A Grass-type Pokémon with a bell shaped head, and a vine-like body ending in root-like feet, with leaves for arms. It can plant itself into the ground to negate Electric-type moves as seen in the anime."
70,Weepinbell,"It has a hook on its rear end that it hooks on trees with and sleeps. When it wakes up, it might find itself on the ground because of the wind."
71,Victreebel,"It was the very last Generation I Pokémon created. All of Bellsprout's evolutions are based on various fly-catcher plants, with Victreebel the closest looking one. Team Rocket's James has a Victreebel that has a habit of chewing on him."
72,Tentacool,"If Tentacool isn't in the water, it will shrivel up because it is mostly water. Tentacool is a jellyfish like Pokémon, which later on in the franchise, is said to be fluid filled. This fluid is toxic and damages oppoents who use HP draining attacks instead of healing them."
73,Tentacruel,"Tentacruel is a large, multi-tentacled jellyfish Pokémon with two claws or beaks and two large, red jewels on its head."
74,Geodude,"Sometimes mistaken as ordinary rocks, people mistakenly step on them resulting in them getting hurt. Geodude has an Alola Form that is an Rock/Electric Type. It appears as a rock with arms."
75,Graveler,Graveler has an Alola Form that is an Rock/Electric Type. It appears as a large rock with two large arms and two small arms. This appearance suggests that the smaller arms are the old Geodude arms and the new ones emerged as it grew larger.
76,Golem,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon's course. Golem has an Alola Form that is an Rock/Electric Type. It appears as a large boulder with a head, arms, and legs. It can roll up into a perfectly round rock. The Alolan versions are magnetic."
77,Ponyta,"Its Galarian form is a Psychic Type. When born, it cannot stand and runs with its parents to strengthen its legs."
78,Rapidash,"As a popular Pokémon, Rapidash is considered ""universally appealing"" to fans of cute and cool Pokémon alike. Both Ponyta and Rapidash can enable their body's flames to be harmful or harmless as seen in the anime.[32][33][34][35] Its Galarian form is a Psychic/Fairy Type."
79,Slowpoke,"Slowpoke eats by dipping its tail in the water. Slowpoke tails are quite a delicacy. Its Galarian form is a Psychic Type. Slowpokes typically appear to be lazy and dumb, but are quite formidable. It is said to evolve into Slowbro when a Shellder attaches itself to its tail. Trading Slowpoke while it holds a King's Rock evolves it into Slowking."
80,Slowbro,"With Shellder's poison going through its body, it makes it even more spaced out than it already was. Its Galarian form is a Poison/Psychic Type. The appearance of the Shellder is different than how they normally look."
81,Magnemite,"Was a pure Electric Type in the first games, but had the Steel Type added in Gold and Silver. Appears as a metallic ball with screws, two magnets, and an eye attached to it. It is capable of levitation."
82,Magneton,"Having this Pokémon near mechanical devices is a bad idea. Oftentimes, Cites will warn people to hide their electronics because Magneton produces electromagnetic waves that mostly ruin devices. Magneton appears as three Magnemite attached together. Evolves into Magnezone while in range of a special magnetic field."
83,Farfetch'd,"Farfetch'd is a duck-like Pokémon that has a green onion stalk for a weapon. It battles over stalks and eats them at starving times. It will die over its own stalk and battle for the best stalks. It was originally called ""Okupan"" in early development and was intended to have an evolution named ""Madame"" in Generation II's early development. Its Galarian form is a Fighting Type. The Galarian form appears to resemble a feudal Japan style samurai or ronin, and uses a larger onion stalk."
84,Doduo,"A Pokémon with two heads. More skilled at running than flying, it is capable of racing at speeds over 60 mph. It was originally intended tp have a pre evolution in Generation II. It appears to resemble a two headed ostrich or emu, mixed with a roadrunner."
85,Dodrio,"The three heads express joy, sorrow and anger as they plan strategy together. When it sleeps, one head remains awake. Dodrio are extremely fast runners. The three heads have colored feathers, which also appear as tail feathers."
86,Seel,"When hunting under water, it uses its horn to break a hole out of the ice to breathe."
87,Dewgong,"Once, a fisherman saw a Dewgong on an iceberg and thought it was a mermaid. Based on the real life dugong."
88,Grimer,"It eats sewer waste for food. Its body is very slippery so it can slip through almost any opening. It was one of the earliest Pokémon created and was originally supposed to have a pre evolution, ""Betobebi"", in Generation II. Grimer has an Alola Form that is an Poison/Dark Type. It appears as a purple sludge, while its Alolan form is multiple colors."
89,Muk,"Muk's name comes from the corruption of the word, ""muck"". A sludge Pokémon that is also be based on Dorotabō, a one-eyed, three-fingered yōkai that rises from the mud of neglected, overgrown rice fields. Its body smells so awful, it can cause fainting. Through degeneration, it lost its sense of smell. Muk has an Alola Form that is an Poison/Dark Type. Like Grimer, Alolan Muk has multiple colors, and now razor sharp crystal like teeth."
90,Shellder,When it sleeps it will still stick its tongue out. It appears as a typical clam or bivalve with a long pink tongue.
91,Cloyster,"It swims by push water out though its valves. It is similar to Shellder, but rotated 180 degrees. Its body looks like a black ball inside a clam shell. It has lost its tongue though."
92,Gastly,"A Ghost-type Pokémon based on the will-o'-the-wisp and the yokai, Sōgenbi. It hides under structures to stop the wind from blowing away its gaseous matter. Though it is part Poison, it typically doesn't learn Poison type moves naturally. It uses its signature tongue when it attacks with Lick."
93,Haunter,"By licking, it saps the victim's life. It causes shaking that won't stop until the victim's demise. It appears as a menacing shadow with eyes, a mouth, and two unattached hands."
94,Gengar,"Owing to its simplistic yet appealing design, Gengar is Ken Sugimori's favorite Pokémon as of the release of X and Y. Gengar, and its predecessors, are considered to be rivals of the Abra evolution line. During the early life of generation 1, Gastly, Haunter, and Gengar did not have the Poison type attribute, and was considered overpowered versus most Pokémon. To remedy this, the Poison part of its dual-type was added, thus making it the rival of Abra as Ghost beats Psychic and Psychic beats Poison. Gengar itself appears as a shadow with a face, legs, arms, and several spikes. Its appearance is strikingly similar to Clefable, making some fans believe that Gengars live in Clefable's shadow.[36] Others associate it with ded Clefables.[37] Fans also reacted positively when Ash Ketchum caught a Gengar in the anime.[38]Gengar has become one of the most iconic Ghost-Type Pokémon of the franchise.[39][40] Official Nintendo Magazine named Gengar one of the ten best Pokémon in the game as of 2010, stating that people ""either love Gengar or hate it.""[41] In a later reader-based poll, it placed ninth as one of the best ghost characters in a Nintendo game, which the magazine attributed to its design.[42] ONM also included it in its list of cool non-legendary Pokémon. Editor Thomas East noted it as a ""cult favourite"" of the ONM staff.[43] IGN called Gengar the best Ghost type Pokémon in Red and Blue, and also praised its appearance, citing a resemblance to Nekobus from My Neighbor Totoro.[44] Patricia Hernandez named Gengar her favourite from Pokémon Red and Blue.[45] IGN readers named it the 17th best Pokémon. Former IGN editor Audrey Drake called it a ""pimp.""[46] Game Informer called it the 32nd best Pokémon.[47] Game Revolution also included it in its list of the best Pokémon at 15.[48] Patricia Hernandez criticized its Mega form, despite her admiration for Gengar. She felt that it didn't get better, just weirder. She also felt that its rarer alternate colour was worse-looking than its normal form.[49] Its Mega form was ranked third in a poll of Japanese readers by Famitsu among other Mega forms.[50] Joshua Yehi of IGN included Gengar on 10 pokemon we want in Super Smash Bros. Ultimate.[51]"
95,Onix,"Though its design has been praised, critics deem Onix underpowered compared to other Rock-types of its generation. Onix is a large rock snake with a spike on its head. A large Onix appeared in the anime, where a Sandslash burrowed into its body. It evolves into Steelix when traded while holding a Metal Coat.[1][52][53][54]"
96,Drowzee,"Drowzee is based on the dream-eating tapir, Baku. If your nose is itchy after you awake, a Drowzee has eaten your dreams through your nose. Drowzee appears as a half yellow-half brown Pokémon that stands on two legs. Its size varies. Later generations, it is given the Insomia trait, making it immune to Sleep status inflicting moves."
97,Hypno,"Hypno is based on the dream-eating tapir, Baku and a hypnotist. It polishes its pendulum to more effectively put people to sleep. Try not to look at it. There is a myth within the franchise that Hypno preys on human children. This has led to Hypno becoming the subject of creepypastas. Hypno is purely yellow with a white fluffy collar mane."
98,Krabby,"As its name states, it is a crab Pokémon that is half while/tan and half orange. In the anime, it doesn't speak its name like other Pokémon. It instead makes a unique noise."
99,Kingler,"Because its pincer is so heavy, it has a hard time fighting. When it does hit, its very powerful. Only Kingler can use Krabhammer, due to its large claw. It shares a similarity to real life fiddler crabs."
100,Voltorb,"Voltorb and Electrode are some of the least popular Pokémon because of their Poké Ball-inspired designs. Even the slightest bit of electricity can make an Electrode explode. That's why it is nicknamed the ""Bomb Ball"" In the video games, Voltorb and Electrode are typically used as landmine traps by villains."
101,Electrode,
102,Exeggcute,"Six of them together form a full-fledged Pokémon. It is often hunted by Crabrawler, but uses psychokinesis to drive it off. Despite technically being several different lifeforms, they are never seen alone. There is also one that appears to be broken with yolk visible. It evolves into Exeggutor when exposed to a Leaf Stone. In the games, they are only found when Headbutting trees."
103,Exeggutor,"A coconut tree-like Pokémon based on the Jinmenju and the favorite Pokémon of Tsunekazu Ishihara, president and CEO of The Pokémon Company, having used it throughout the debugging phase of Pokémon Red and Green. Its 3 heads can think differently, often making it unable to move. Exeggutor has an Alola Form that is an Grass/Dragon Type. The Alolan version has a really long trunk like neck. It is said that if an Exeggutor's head falls off, it merges with others to form a new Exeggcute."
104,Cubone,"The stains on its skull are caused by the tears it sheds knowing it will never see its mother again. The Cubone appears as a small dinosaur like Pokémon with a skull over its head. The skull is said to be its mother's. Despite this belief, no one has ever seen under its mask. There is speculation that Cubone and Marowak were once going to be part of the Kangaskhan line due to the similar appearance of the babies to Cubone."
105,Marowak,"Marowak has an Alola Form that is a Ghost/Fire type. It was originally intended for Marowak to have a currently unnamed evolution, but it was scrapped. Marowak appears as an older Cubone with the skull becoming the head. It wields a bone that it uses as a boomerang. This is the only Pokémon that can use the Bonemurang attack. The Alolan form is darker."
106,Hitmonlee,"Hitmonlee's design is based on Headless men, from Greco-Roman mythology. It may be also be based on Kabandha, a demon from Hindu Mythology. Its name is derived from actor and martial artist Bruce Lee. It will rub its legs down after fighting to overcome fatigue. It also can extend its legs to deliver power kicks. Hitmonlee and Hitmonchan didn't have a distinct evolutionary line until Tyrogue and Hitmontop were conceived. Hitmonlee evolves from Tyrogue if it has higher Attack stats."
107,Hitmonchan,"Its name is derived from actor and martial artist Jackie Chan. It delivers powerful punches in a fight. However, it can only fight for 3 minutes without resting. It appears as a boxer with boxing gloves for hands. It evolves from Tyrogue if it has higher Defense stats."
108,Lickitung,"It can swiftly pick up a small bean with its tongue better than its hands or feet. If it licks you and you don't clean it off, it'll break out into a rash. Lickitung appears as a pink lizard like Pokémon with a long tongue that it uses as a weapon. It evolves into Licklicky while knowing Rollout."
109,Koffing,"Koffing is based on air pollution and meteorites. Sometimes, it can over inflate itself and explode. It appears as a floating space rock with several gas vent holes that expel its fumes. It also has a skull and crossbones style marking on its chest. Koffing was Team Rocket member James' starting Pokémon."
110,Weezing,"A Weezing belonged to James of Team Rocket in the Kanto and Johto series of the Pokémon anime and for a small portion of the Advanced Generation series. It likes to raid trash can for food. To make its poison more toxic, it pushes its gas through its 2 heads. Its Galarian form is a Poison/Fairy Type. It appears as three different sized Koffing rocks merged, with a face on both of the bigger ones."
111,Rhyhorn,"Its tackles can demolish skyscrapers but its memory isn't the best. Once it starts going, it sometimes can't remember why it started. It appears as a rhinoceros-like creature made of diamond hard rock."
112,Rhydon,"Rhydon was the first Pokémon created by Game Freak.[55] Its hide is very tough. Unlike Rhyhorn, it stands bipedal. It eventually gained an evolution, Rhyperior, after being traded with a Protector."
113,Chansey,"In generation II, Blissey (#242) was added and in generation IV Happiny (#440) was added. Initially however, Chansey was a stand-alone Pokémon. It appears a pink oblong shaped creature with stubby arms and feet. It carries eggs in its pouch and is typically used by Pokémon Centers for the egg's healing properties."
114,Tangela,"Blue plant vines cloak the Pokémon's identity in a tangled mass. It entangles anything that gets close. It also resembles the severed head of the gorgon, Medusa. It gained an evolution, Tangrowth, in Generation IV and was going to have a pre evolution in Generation II."
115,Kangaskhan,"In Pokémon Go, Kangaskhan is exclusively found in Australia, but in the anime it can be found in the wilds living in groups. It was the second Pokémon created by Game Freak, after Rhydon. It carries a baby Kangaskhan in its pouch until it grows up."
116,Horsea,"Horsea and Seadra are based on seahorses.[56] In the occurrence of a big wave, Horsea will curl its tail around tough coral braches to help it not to be washed away. Seadra appear a slightly bigger Horsea. The spikes on its body are poisononous. It evolves into Kingdra when traded while holding a Dragon Scale."
117,Seadra,
118,Goldeen,"Goldeen and Seaking are based on goldfish.[56] It was originally intended to have a pre evolution called ""Gyopin"". Goldeen are white and orange. Seaking are larger than Goldeen, and appear with an orange and black coloration."
119,Seaking,
120,Staryu,"Staryu, known as the Star Shape Pokémon, is a basic, Water-type Pokémon which resembles a starfish with a mechanical center on its body, housing a red jewel. This is known as its core and its actually an organ."
121,Starmie,"Starmie, known as the Mysterious Pokémon, resembles a sea star. Starmie appears to have a second star growing on its back, which is semi-attached, being able to spin 360°. Starmie has a red jewel core, which resembles a cut precious stone and seems to shine with the seven colors of the rainbow when looked at from different angles,[57] but usually shows up red more than any other color. It can also emit electrical waves from the core that are powerful enough to reach the furthest parts of the universe.[58] The appearance of Starmie is two purple starfish connected back to back with only one having the gemstone on it."
122,Mr. Mime,"Its pantomiming is the best in the world. If someone interrupts it, it will harshly slap whoever did it with its big, broad hands that can form invisible walls just by vibrating it fingertips. It has aGalarian form that's an Ice/Psychic Type. In the anime, Ash's mom has a Mr. Mime as a housekeeping helper. Mr. Mime is known for creating invisible barriers. Despite being found in both male and female genders, the name never changes."
123,Scyther,"IGN and GamesRadar have praised Scyther's ""cool"" design.[59][60][61] Scyther is known as a Mantis Pokémon, and has two long curved blades for arms. They are famous for having high agility and offensive strength. It evolves into Scizor after being traded while holding Metal Coat."
124,Jynx,"Jynx has spawned controversy due to aspects of its design being similar to blackface, leading Game Freak to change the color of its skin from black to purple.[62][63][64][65][66] When Pokémon Yellow was re-released on the Nintendo 3DS Virtual Console, the in-game sprite of Jynx was edited to reflect this change.[66] Jynx's appearance is a purple humanoid with blond hair and a dress. It has big lips that it uses to confuse opponents by kissing them. It evolves from Smoochum."
125,Electabuzz,"It gathers near power plants to feast on electricity. In the dark, it glows a whitish blue color."
126,Magmar,"While Magmar was voted the eighth best fire-type Pokémon by the Official Nintendo Magazine readers,[67] GamesRadar has criticized its design multiple times, noting that its forehead resembles a butt.[68][69] Magmar evolves from Magby and into Magmortar. It is famed for being the first Pokémon to use Fire Punch, and is one of gym leader Blaine's best Pokémon. Ash Ketchum, being the genius that he is, tried to fight this Fire-type with his own Fire-type, Charizard."
